Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
bedroom,Easterneuropeans,75,0,600,fast,tinted,0.000275244,Nonblink
laboratory,Eastasians,70,60,50,fast,tinted,0.000490367,Nonblink
bedroom,Eastasians,60,20,50,fast,tinted,0.00014366,Nonblink
laboratory,Eastasians,75,30,1450,normal,polarized,0.000400988,Nonblink
laboratory,Eastasians,60,20,150,fast,tinted,0.000162265,Nonblink
bedroom,Eastasians,50,45,1250,fast,polarized,0.000257772,Nonblink
laboratory,Eastasians,55,20,50,fast,metal,0.000524515,Nonblink
bedroom,Eastasians,70,55,1250,slow,tinted,0.000466326,Nonblink
laboratory,Easterneuropeans,65,60,1450,fast,tinted,0.000188211,Nonblink
bedroom,African,60,40,600,fast,tinted,0.000661654,Nonblink
TV,Eastasians,65,5,1250,fast,polarized,0.000453512,Nonblink
laboratory,Eastasians,75,40,50,fast,metal,0.000269759,Nonblink
bedroom,Easterneuropeans,65,60,250,normal,metal,0.000419463,Nonblink
TV,Eastasians,70,35,30,fast,eyesight,0.000622095,Nonblink
laboratory,Eastasians,60,40,1000,fast,tinted,0.000292324,Nonblink
bedroom,Eastasians,50,60,600,fast,polarized,0.000311078,Nonblink
laboratory,Eastasians,75,55,450,fast,metal,0.000266865,Nonblink
bedroom,Eastasians,65,55,1000,fast,tinted,0.000438896,Nonblink
laboratory,Eastasians,50,35,600,fast,eyesight,0.000398777,Nonblink
bedroom,Eastasians,75,60,50,fast,none,0.000280722,Nonblink
bedroom,Eastasians,60,55,1000,fast,eyesight,0.000552806,Nonblink
laboratory,Eastasians,70,15,150,fast,polarized,0.000573121,Nonblink
bedroom,Eastasians,65,55,30,fast,polarized,0.000286596,Nonblink
laboratory,Eastasians,70,0,150,fast,tinted,0.000448574,Nonblink
laboratory,Eastasians,60,45,1450,fast,eyesight,0.00060841,Nonblink
TV,Eastasians,60,25,50,fast,metal,0.000138493,Nonblink
bedroom,Eastasians,75,55,1000,slow,metal,0.000502596,Nonblink
TV,Eastasians,65,30,150,fast,eyesight,0.00034559,Nonblink
TV,Eastasians,75,55,250,slow,metal,0.000311084,Nonblink
bedroom,Eastasians,65,40,150,fast,polarized,0.000257387,Nonblink
bedroom,Southasians,70,60,150,fast,tinted,0.000598967,Nonblink
bedroom,Eastasians,55,25,1450,normal,metal,0.000460635,Nonblink
bedroom,Eastasians,70,35,600,fast,polarized,0.000640455,Nonblink
TV,Eastasians,75,60,600,fast,tinted,0.000524597,Nonblink
bedroom,Eastasians,60,60,1000,fast,tinted,0.000425254,Nonblink
laboratory,Eastasians,65,40,450,slow,metal,0.00056701,Nonblink
laboratory,Eastasians,75,20,1450,fast,tinted,0.000371688,Nonblink
laboratory,Eastasians,75,55,1250,fast,eyesight,0.000575776,Nonblink
TV,Eastasians,70,30,1250,fast,polarized,0.000659662,Nonblink
TV,Eastasians,75,30,1250,slow,polarized,0.000565257,Nonblink
TV,Eastasians,75,45,30,fast,polarized,0.000573908,Nonblink
TV,Eastasians,75,60,450,fast,eyesight,0.000300642,Nonblink
TV,Southasians,55,45,1000,fast,tinted,0.000320546,Nonblink
laboratory,Easterneuropeans,75,35,50,fast,metal,0.000236127,Nonblink
TV,Eastasians,65,35,1000,fast,tinted,0.000202131,Nonblink
TV,Eastasians,60,20,1000,fast,tinted,0.000319813,Nonblink
TV,Eastasians,75,20,450,slow,tinted,0.000645246,Nonblink
laboratory,Eastasians,75,25,600,fast,eyesight,0.000581093,Nonblink
bedroom,Eastasians,55,30,250,fast,polarized,0.000645451,Nonblink
laboratory,Eastasians,70,60,450,fast,tinted,0.000363542,Nonblink
laboratory,Eastasians,75,10,30,fast,eyesight,0.000333401,Nonblink
laboratory,Eastasians,70,0,450,fast,polarized,0.000394723,Nonblink
laboratory,Eastasians,70,45,50,slow,eyesight,0.000361837,Nonblink
bedroom,African,60,45,150,slow,none,0.000231237,Nonblink
TV,Eastasians,70,60,1000,normal,metal,0.000230084,Nonblink
laboratory,Eastasians,75,55,30,fast,tinted,0.00064591,Nonblink
laboratory,Eastasians,60,60,30,fast,polarized,0.00013557,Nonblink
bedroom,Eastasians,75,60,1000,fast,none,0.000528108,Nonblink
TV,Eastasians,70,60,1250,normal,tinted,0.000214068,Nonblink
laboratory,Eastasians,75,45,30,fast,polarized,0.00056965,Nonblink
TV,Eastasians,70,20,450,fast,tinted,0.000203293,Nonblink
bedroom,Eastasians,75,60,1450,slow,metal,0.000256764,Nonblink
TV,Easterneuropeans,70,60,1450,fast,none,0.000498492,Nonblink
bedroom,Eastasians,70,60,50,fast,polarized,0.000447003,Nonblink
bedroom,African,60,45,250,fast,polarized,0.000177295,Nonblink
bedroom,Eastasians,75,30,600,fast,tinted,0.000563339,Nonblink
bedroom,Eastasians,70,55,1250,fast,polarized,0.000575008,Nonblink
bedroom,Eastasians,75,45,1250,fast,tinted,0.000595965,Nonblink
TV,Eastasians,60,30,250,fast,tinted,0.000464488,Nonblink
laboratory,Eastasians,75,60,450,fast,polarized,0.000399454,Nonblink
bedroom,Eastasians,60,30,450,fast,polarized,0.000414447,Nonblink
laboratory,African,60,30,50,fast,eyesight,0.000462912,Nonblink
bedroom,Eastasians,70,35,1450,fast,tinted,0.000427304,Nonblink
TV,Eastasians,65,25,50,normal,polarized,0.00030628,Nonblink
TV,Eastasians,70,40,250,normal,none,0.000208656,Nonblink
laboratory,African,75,25,250,fast,metal,0.000458398,Nonblink
TV,Eastasians,70,55,450,fast,tinted,0.000580705,Nonblink
bedroom,African,70,55,600,fast,metal,0.000518197,Nonblink
TV,Eastasians,60,40,1250,fast,metal,0.000141733,Nonblink
laboratory,Eastasians,65,30,600,fast,polarized,0.000359862,Nonblink
bedroom,Eastasians,70,10,600,fast,polarized,0.000520166,Nonblink
laboratory,Eastasians,65,10,150,normal,tinted,0.000283554,Nonblink
laboratory,Eastasians,65,25,450,fast,tinted,0.000589256,Nonblink
laboratory,Eastasians,60,60,50,fast,tinted,0.000286622,Nonblink
TV,Eastasians,60,60,30,fast,polarized,0.000516876,Nonblink
laboratory,Eastasians,60,60,150,fast,polarized,0.000534126,Nonblink
bedroom,Easterneuropeans,70,55,600,fast,metal,0.000144132,Nonblink
TV,Eastasians,70,55,150,fast,polarized,0.000576006,Nonblink
TV,Eastasians,75,55,250,fast,metal,0.000379387,Nonblink
bedroom,Eastasians,60,40,1000,fast,polarized,0.000179804,Nonblink
laboratory,Eastasians,65,60,1000,slow,tinted,0.000612359,Nonblink
bedroom,Southasians,65,25,50,slow,polarized,0.000406488,Nonblink
TV,Eastasians,65,30,250,normal,eyesight,0.000138607,Nonblink
laboratory,Easterneuropeans,60,60,30,fast,tinted,0.000303239,Nonblink
bedroom,Eastasians,55,60,30,fast,tinted,0.000567438,Nonblink
laboratory,Eastasians,50,45,150,slow,none,0.000517683,Nonblink
laboratory,Eastasians,70,60,1000,fast,none,0.000385147,Nonblink
bedroom,Southasians,70,60,1450,fast,none,0.000156863,Nonblink
bedroom,Eastasians,60,60,1000,fast,none,0.000334147,Nonblink
bedroom,Eastasians,65,30,150,fast,polarized,0.000660084,Nonblink
bedroom,Eastasians,75,40,150,fast,metal,0.000663788,Nonblink
TV,Southasians,50,40,1250,slow,tinted,0.000562737,Nonblink
laboratory,African,60,5,50,fast,none,0.000399837,Nonblink
bedroom,African,65,60,50,normal,polarized,0.000222753,Nonblink
TV,African,65,45,1250,slow,eyesight,0.000154814,Nonblink
laboratory,Easterneuropeans,75,45,1000,fast,metal,0.000315191,Nonblink
laboratory,Eastasians,60,40,1000,fast,metal,0.00053869,Nonblink
bedroom,Eastasians,65,20,30,fast,polarized,0.000463723,Nonblink
bedroom,Eastasians,75,55,1450,fast,polarized,0.000136029,Nonblink
bedroom,Eastasians,65,25,250,fast,tinted,0.000545306,Nonblink
laboratory,Eastasians,60,45,450,normal,tinted,0.00056316,Nonblink
laboratory,Eastasians,75,20,1250,slow,tinted,0.000430952,Nonblink
bedroom,Southasians,60,25,50,fast,tinted,0.000191635,Nonblink
TV,Eastasians,60,30,450,fast,metal,0.000480606,Nonblink
TV,Eastasians,55,30,150,fast,metal,0.000423843,Nonblink
bedroom,Eastasians,70,55,250,fast,metal,0.000207937,Nonblink
TV,Eastasians,60,25,30,fast,metal,0.000189912,Nonblink
laboratory,Eastasians,70,30,30,fast,metal,0.000653885,Nonblink
bedroom,Eastasians,65,60,1000,fast,tinted,0.000303208,Nonblink
laboratory,Eastasians,55,30,50,fast,tinted,0.000593808,Nonblink
TV,Eastasians,75,60,50,fast,none,0.000659056,Nonblink
TV,Eastasians,75,55,1000,fast,eyesight,0.000217836,Nonblink
TV,Eastasians,75,25,600,fast,tinted,0.00052255,Nonblink
bedroom,Eastasians,75,55,1250,fast,polarized,0.000644382,Nonblink
bedroom,African,75,30,450,normal,tinted,0.000620536,Nonblink
TV,Eastasians,75,60,600,fast,polarized,0.0005716,Nonblink
bedroom,Eastasians,75,60,30,fast,metal,0.000153761,Nonblink
bedroom,Eastasians,65,20,150,slow,metal,0.000219837,Nonblink
bedroom,Eastasians,60,55,1250,fast,tinted,0.000204188,Nonblink
TV,Eastasians,70,55,450,fast,metal,0.000313835,Nonblink
TV,Eastasians,70,10,1450,fast,polarized,0.000435903,Nonblink
bedroom,Eastasians,60,15,600,slow,metal,0.000171351,Nonblink
bedroom,Eastasians,55,30,30,slow,tinted,0.000247528,Nonblink
bedroom,Eastasians,75,30,50,fast,eyesight,0.000426139,Nonblink
laboratory,Eastasians,70,55,600,fast,tinted,0.000525515,Nonblink
TV,Easterneuropeans,60,25,250,fast,eyesight,0.000207652,Nonblink
TV,Eastasians,65,60,150,fast,tinted,0.000280082,Nonblink
bedroom,Eastasians,65,25,150,slow,tinted,0.000403817,Nonblink
TV,Eastasians,70,10,1250,fast,tinted,0.000233044,Nonblink
TV,Southasians,65,60,250,fast,tinted,0.000355859,Nonblink
bedroom,Eastasians,55,45,30,fast,metal,0.000143186,Nonblink
TV,Eastasians,70,40,450,fast,polarized,0.000230725,Nonblink
bedroom,Southasians,75,30,1250,normal,tinted,0.000410815,Nonblink
bedroom,Eastasians,65,55,450,fast,metal,0.000443743,Nonblink
bedroom,Eastasians,70,20,1450,normal,tinted,0.000413455,Nonblink
bedroom,Southasians,60,20,150,fast,polarized,0.000457576,Nonblink
laboratory,Eastasians,65,60,150,fast,polarized,0.000400224,Nonblink
TV,Eastasians,50,30,30,fast,tinted,0.000202006,Nonblink
bedroom,Eastasians,75,45,450,fast,metal,0.00044574,Nonblink
TV,Eastasians,65,20,1250,fast,tinted,0.000497797,Nonblink
bedroom,Eastasians,70,25,50,fast,tinted,0.000259898,Nonblink
bedroom,Eastasians,75,45,150,slow,eyesight,0.000169398,Nonblink
TV,Eastasians,75,45,30,fast,polarized,0.000385783,Nonblink
laboratory,Eastasians,70,40,250,fast,tinted,0.000259549,Nonblink
TV,Eastasians,70,45,600,slow,tinted,0.000593652,Nonblink
TV,Eastasians,70,55,250,fast,metal,0.000511192,Nonblink
bedroom,Eastasians,75,60,150,fast,polarized,0.000535132,Nonblink
laboratory,African,75,40,150,fast,polarized,0.000480652,Nonblink
TV,Easterneuropeans,60,40,150,fast,eyesight,0.000236979,Nonblink
TV,Eastasians,55,25,250,fast,polarized,0.000333055,Nonblink
TV,African,75,0,1450,fast,tinted,0.000214289,Nonblink
laboratory,Eastasians,55,35,1000,fast,none,0.000459545,Nonblink
laboratory,Eastasians,75,20,1000,slow,polarized,0.000408425,Nonblink
laboratory,Eastasians,60,10,1000,fast,metal,0.000225161,Nonblink
TV,Eastasians,75,45,450,slow,metal,0.000231335,Nonblink
laboratory,Eastasians,70,20,1250,fast,tinted,0.000445259,Nonblink
laboratory,Eastasians,60,55,600,fast,tinted,0.000242442,Nonblink
TV,Eastasians,70,55,250,normal,eyesight,0.000638003,Nonblink
bedroom,Eastasians,75,55,30,fast,polarized,0.000608904,Nonblink
bedroom,Eastasians,75,25,50,fast,polarized,0.00062978,Nonblink
bedroom,Eastasians,70,55,1000,fast,none,0.000333388,Nonblink
TV,Easterneuropeans,55,20,30,slow,polarized,0.000592183,Nonblink
laboratory,Eastasians,70,35,600,fast,tinted,0.000350386,Nonblink
bedroom,Eastasians,65,25,50,normal,polarized,0.000484534,Nonblink
TV,Southasians,75,35,250,fast,polarized,0.000248371,Nonblink
TV,Eastasians,70,55,600,fast,tinted,0.000435096,Nonblink
laboratory,Eastasians,65,25,1250,fast,metal,0.0004557,Nonblink
bedroom,Eastasians,75,30,600,slow,polarized,0.000454269,Nonblink
bedroom,Eastasians,70,55,600,fast,tinted,0.000647454,Nonblink
bedroom,Eastasians,75,20,450,fast,tinted,0.000583394,Nonblink
TV,Eastasians,75,25,250,normal,metal,0.000366944,Nonblink
bedroom,Eastasians,55,60,1250,fast,polarized,0.000644959,Nonblink
TV,Eastasians,65,60,30,fast,tinted,0.000604563,Nonblink
TV,Eastasians,70,60,1000,normal,polarized,0.000668214,Nonblink
TV,Southasians,75,30,30,fast,tinted,0.00063624,Nonblink
laboratory,Eastasians,60,35,50,fast,polarized,0.000581871,Nonblink
TV,Eastasians,75,20,150,fast,tinted,0.000443303,Nonblink
TV,Eastasians,75,25,1250,fast,metal,0.00058812,Nonblink
laboratory,Eastasians,75,55,600,fast,polarized,0.000489493,Nonblink
bedroom,African,75,40,30,fast,tinted,0.000250716,Nonblink
TV,Eastasians,55,30,1000,fast,polarized,0.000437818,Nonblink
TV,Eastasians,70,60,150,normal,polarized,0.00050747,Nonblink
bedroom,Eastasians,75,60,1250,fast,polarized,0.000173745,Nonblink
bedroom,Eastasians,60,35,150,fast,polarized,0.000555114,Nonblink
laboratory,Eastasians,60,45,30,fast,eyesight,0.000632852,Nonblink
bedroom,Eastasians,60,60,1450,normal,tinted,0.000201995,Nonblink
TV,Eastasians,70,60,1000,fast,polarized,0.000370851,Nonblink
bedroom,Eastasians,75,10,1450,fast,polarized,0.000461557,Nonblink
TV,Eastasians,75,25,30,slow,polarized,0.000470085,Nonblink
laboratory,Eastasians,70,20,50,fast,tinted,0.000567154,Nonblink
bedroom,Eastasians,70,40,1250,fast,polarized,0.000359589,Nonblink
laboratory,Eastasians,75,30,30,fast,tinted,0.000455412,Nonblink
laboratory,African,65,20,250,slow,eyesight,0.000140875,Nonblink
TV,Eastasians,65,55,450,fast,tinted,0.00066022,Nonblink
TV,Eastasians,55,40,50,normal,none,0.00050168,Nonblink
bedroom,Eastasians,75,45,50,fast,polarized,0.000479203,Nonblink
laboratory,Eastasians,60,55,600,fast,tinted,0.000344092,Nonblink
TV,Eastasians,70,35,30,fast,polarized,0.000614723,Nonblink
laboratory,Eastasians,70,45,30,fast,polarized,0.000493778,Nonblink
bedroom,Eastasians,65,0,1450,fast,eyesight,0.000534248,Nonblink
laboratory,Eastasians,50,20,150,fast,none,0.00022836,Nonblink
bedroom,Southasians,75,25,600,slow,tinted,0.000565503,Nonblink
TV,Eastasians,65,40,450,fast,metal,0.000596322,Nonblink
laboratory,Eastasians,55,55,30,fast,tinted,0.000602407,Nonblink
laboratory,Eastasians,70,20,50,fast,polarized,0.000254789,Nonblink
TV,Eastasians,65,20,1000,fast,polarized,0.000181213,Nonblink
bedroom,Southasians,60,0,30,fast,none,0.000209651,Nonblink
TV,Southasians,50,15,150,fast,metal,0.000196447,Nonblink
TV,Eastasians,60,40,250,fast,eyesight,0.000553747,Nonblink
laboratory,Eastasians,70,45,150,fast,eyesight,0.000153865,Nonblink
TV,African,75,20,1000,slow,eyesight,0.000182823,Nonblink
bedroom,Eastasians,70,5,30,fast,metal,0.000643754,Nonblink
bedroom,Eastasians,70,60,1000,fast,metal,0.00062023,Nonblink
TV,Eastasians,75,60,1000,fast,tinted,0.000670663,Nonblink
bedroom,Easterneuropeans,60,40,1450,fast,polarized,0.000457709,Nonblink
laboratory,Southasians,70,55,1250,fast,polarized,0.000340107,Nonblink
bedroom,Eastasians,65,45,1450,normal,tinted,0.000568601,Nonblink
laboratory,Eastasians,75,45,600,slow,polarized,0.000175709,Nonblink
bedroom,Eastasians,70,25,450,fast,metal,0.000363075,Nonblink
bedroom,Eastasians,65,15,30,fast,tinted,0.00044403,Nonblink
TV,Eastasians,75,60,1250,slow,metal,0.000188359,Nonblink
laboratory,Eastasians,65,60,50,slow,none,0.000172072,Nonblink
TV,Eastasians,70,20,600,slow,eyesight,0.000398822,Nonblink
bedroom,Eastasians,70,40,1000,slow,metal,0.000665956,Nonblink
laboratory,Eastasians,65,35,50,fast,tinted,0.000566322,Nonblink
TV,Eastasians,70,20,1450,fast,tinted,0.00029549,Nonblink
bedroom,Eastasians,50,60,250,fast,metal,0.000436011,Nonblink
bedroom,Eastasians,65,15,1250,fast,polarized,0.00014074,Nonblink
bedroom,Eastasians,75,55,1450,slow,polarized,0.000550266,Nonblink
bedroom,Eastasians,60,0,1250,fast,tinted,0.000585319,Nonblink
TV,Eastasians,75,5,450,fast,polarized,0.000330099,Nonblink
bedroom,Eastasians,75,55,1450,fast,metal,0.000370324,Nonblink
bedroom,Eastasians,65,25,150,normal,tinted,0.000325089,Nonblink
bedroom,Eastasians,60,60,50,fast,metal,0.000192074,Nonblink
laboratory,Eastasians,60,55,1000,fast,polarized,0.000492809,Nonblink
laboratory,Easterneuropeans,70,45,1250,fast,polarized,0.000200238,Nonblink
bedroom,Eastasians,75,55,1000,fast,tinted,0.000641249,Nonblink
